lakeid,Year,CVHT_standardized,n_months_sampled,mei,nino4,oni,sstcorr1,sstcorr2,zonalwind500,geoheight500,geoheight850,surfacezonalwind,surfacemomentumflux,air_temp,water_temp,phosphorus,nitrogen,chlorophyll,lake_level,ice_on_duration
SP,2003,16,3,-0.1,28.91,-0.04,28.826,22.219,9.17,5583.853,1466.96,-0.049,1.974,2.30086956521739,13.3,5.5,265,1.025,495.0815,151
SP,2004,19.833333333333332,3,-0.4,28.865,0.17,28.858,22.671,12.886,5564.984,1459.347,0.704,-40.985,2.61788043478261,10.9,5.5,253.5,2.3000000000000003,495.07550000000003,139
SP,2005,18,3,0.2,29.13,0.43,28.91,21.838,9.583,5617.372,1467.796,0.235,-21.054,4.05494565217391,8.45,5,201,2.64,494.68399999999997,120
SP,2006,19.5,3,-0.2,28.575,-0.37,28.763,21.599,10.294,5642.203,1491.908,0.575,-28.85,5.91826086956522,14,8.5,256.5,2.86,494.616,133
SP,2007,18,3,-0.8,28.785,-0.32,28.693,21.615,10.575,5564.631,1467.371,0.138,-26.844,2.68087301587302,13.5,6.5,249.5,2.2,494.33299999999997,114
SP,2008,14.5,3,-0.8,27.635,-1.01,27.882,22.404,13.294,5589.382,1446.415,1.043,-51.589,1.03271739130435,9.95,3.5,233,1.925,494.9150225225225,153
SP,2009,16.5,3,0,28.635,-0.33,28.801,21.996,12.687,5586.86,1456.197,0.802,-62.755,2.75679347826087,12.3,2.5,264.5,1.1,494.161,141
SP,2010,15.5,3,-1.3,29.07,0.35,28.768,21.657,14.312,5594.375,1463.604,0.249,-18.261,6.8391847826087,14.65,8.5,207,2.4,493.881,111
SP,2011,17.5,3,-1,28.12,-0.73,28.163,22.041,12.486,5597.093,1467.327,-0.583,30.959,2.9725,7.5,8,206.33333333333334,2.0999999999999996,494.599,141
SP,2012,10.5,3,-0.3,28.215,-0.47,28.436,21.944,13.054,5584.833,1452.358,0.617,-52.312,7.38255434782609,14.566666666666666,0,162,1.28,494.40049999999997,106
SP,2013,21.5,3,-1.1,28.525,-0.3,28.635,21.682,11.65,5660.924,1478.493,-0.287,12.612,1.34679347826087,11.1,0,194,2.6,494.48699999999997,151
SP,2014,23.166666666666668,3,0,29.215,0.04,29.121,21.172,11.822,5614.732,1466.764,0.168,-17.448,0.5525,9.4,33.5,192,3.9000000000000004,494.98,165
SP,2015,17.5,3,1.9,29.73,0.7,29.483,22.774,12.373,5575.674,1470.979,0.583,-33.997,3.97652173913043,13.600000000000001,3.5,172,1.48,494.9895,146
SP,2016,25.5,3,0.4,29.41,0.94,29.317,22.34,12.836,5620.667,1469.482,0.963,-64.82,4.59872222222222,14.25,6,168,1.85,495.1175,113
SP,2017,24,3,-0.2,28.895,0.2,29.055,22.337,12.974,5592.167,1444.451,0.924,-46.862,3.82244565217391,11.733333333333333,10,205,3.78,495.6035,119
SP,2018,22.5,3,-0.5,28.86,-0.5,28.902,23.315,10.781,5639.087,1477.218,0.048,-5.177,2.92902173913043,17,6.5,212.5,2.55,495.28999999999996,148
SP,2019,21.833333333333336,3,0.4,29.3,0.66,29.341,21.982,11.209,5599.633,1463.663,0.295,-14.077,1.47978260869565,8.95,7.5,206.5,2.625,495.53,146
SP,2020,25,3,-0.7,29.08,0.19,28.91,22.614,11.032,5642.158,1469.9,0.4,-29.63,3.08032608695652,6.9,10,249,4,495.517,150
SP,2021,14,3,-1,28.455,-0.66,28.714,22.446,10.508,5602.171,1463.767,0.842,-55.94,4.4775,9.6,7.447619047619048,221.03809523809525,2.4333333333333336,495.4275,120
SP,2022,19,3,-1.9,27.96,-1.06,28.262,22.565,14.501,5592.256,1455.703,0.664,-62.124,2.46717391304348,11,7.447619047619048,221.03809523809525,2.98,494.9150225225225,150
SP,2023,23.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SP,2024,19.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TR,1981,39.5,2,-0.7,28.235,-0.37,28.405,22.307,17.011,5516.613,1431.361,0.762,-44.613,4.6,13.5,6.838095238095238,201.10476190476192,3.0030081300813007,491.86064814814813,134.5609756097561
TR,1982,67.5,3,0.6,29.13,0.47,29.361,22.565,10.842,5546.578,1454.317,0.262,-20.681,3.49673913043478,9.4,6.838095238095238,201.10476190476192,5,491.86064814814813,138
TR,1983,63,3,2,28.875,1.29,28.69,22.019,8.651,5598.84,1468.736,0.168,-15.68,2.93913043478261,8.2,6.838095238095238,201.10476190476192,3.7249999999999996,491.86064814814813,142
TR,1984,58.5,3,-0.7,27.94,-0.43,28.061,21.955,11.138,5588.837,1459.931,1.242,-89.082,2.90869565217391,8.85,6.838095238095238,201.10476190476192,4.025,491.855,146
TR,1985,56.5,3,-0.7,27.705,-0.78,28.115,22.382,14.206,5571.513,1447.445,0.985,-84.256,5.82173913043478,11.8,6.838095238095238,201.10476190476192,3.125,491.933,130
TR,1986,63,3,0,28.43,-0.2,28.617,21.873,11.855,5539.302,1459.278,0.531,-37.22,5.68532608695652,10.600000000000001,7.5,288,2.5,491.83466666666664,133
TR,1987,56.5,3,2.1,28.9,0.95,28.961,22.353,10.465,5584.29,1463.822,0.715,-51.746,6.33369565217391,10.05,7,185.5,2.5,491.8285,131
TR,1988,68.66666666666667,3,-1.2,28.285,-0.31,28.296,22.592,6.779,5683.185,1492.782,0.326,-34.19,4.87771739130435,12.75,3,204.5,2.275,491.7255,128
TR,1989,61.5,3,-1,27.87,-0.83,27.968,22.133,9.355,5605.424,1480.196,0.486,-28.207,2.32391304347826,9.1,6.666666666666667,254,3.24,491.855,144
TR,1990,53,3,0.1,28.8,0.29,28.642,22.084,14.272,5575.913,1448.777,0.782,-57.722,4.06521739130435,9.9,6.666666666666667,194,3.05,491.829,143
TR,1991,64.66666666666667,3,1,29.175,0.26,29.12,23.067,9.306,5648.246,1496.318,-0.048,-11.739,5.47663043478261,9.1,14.5,160,2.575,491.89750000000004,134
TR,1992,69.66666666666667,3,1.5,29.16,1.29,29.084,21.634,8.79,5574.167,1459.562,0.115,-34.665,3.44510869565217,7.95,8.5,184.5,3.875,491.675,152
TR,1993,58.5,3,1.5,28.82,0.67,28.88,21.473,11.274,5579.474,1463.66,0.545,-40,3.05652173913043,7.5,4,151.33333333333334,4.08,492.09833333333336,151
TR,1994,55,3,0.3,28.94,0.31,28.882,21.998,12.75,5609.812,1472.075,0.92,-54.149,4.16086956521739,7.800000000000001,3,170,2.3600000000000003,491.871,147
TR,1995,60.5,3,0,29.225,0.3,28.968,21.583,5.522,5668.799,1496.429,0.138,-10.793,1.63260869565217,7.699999999999999,3.3333333333333335,175.33333333333334,3.06,491.836,142
TR,1996,69.16666666666667,3,-0.9,28.315,-0.39,28.353,21.21,10.573,5615.317,1474.513,0.149,-16.316,1.34347826086957,9.1,4.5,191.5,2.875,491.895,172
TR,1997,67.5,3,2.3,29.33,0.28,29.119,21.842,8.71,5587.717,1465.891,0.579,-43.507,1.66385869565217,7.25,4,139.5,2.175,491.894,156
TR,1998,44.83333333333333,3,0.4,28.61,0.99,28.615,23.217,12.338,5614.822,1443.97,0.326,-21.994,6.05646739130435,14.600000000000001,2,167.5,1.925,491.88649999999996,112
TR,1999,60,3,-1.3,27.65,-0.98,27.928,22.95,11.705,5583.317,1473.69,0.132,-14.689,5.79108695652174,9.8,7.666666666666667,196.66666666666666,3.1,491.87533333333334,118
TR,2000,55,3,-1.2,27.415,-0.81,27.955,22.663,14.44,5540.809,1448.568,1.046,-71.258,5.57630434782609,11.733333333333334,24,188.33333333333334,3.22,491.8295,110
TR,2001,49,3,-0.7,28.285,-0.34,28.507,22.392,12.069,5596.765,1475.241,0.284,-29.431,4.30244565217391,11.7,7.333333333333333,188.33333333333334,2.72,491.853,138
TR,2002,64.5,3,0.3,29.275,0.2,29.217,22.554,11.818,5602.962,1474.521,0.662,-54.869,0.881576086956522,6.1,9,226.5,1.275,491.8855,116
TR,2003,55.5,3,-0.1,28.91,-0.04,28.826,22.219,9.17,5583.853,1466.96,-0.049,1.974,2.30086956521739,9.533333333333333,7,373,2.94,491.80100000000004,147
TR,2004,56.333333333333336,3,-0.4,28.865,0.17,28.858,22.671,12.886,5564.984,1459.347,0.704,-40.985,2.61788043478261,9.7,8,237.5,2.0500000000000003,491.86064814814813,141
TR,2005,53.83333333333333,3,0.2,29.13,0.43,28.91,21.838,9.583,5617.372,1467.796,0.235,-21.054,4.05494565217391,6.95,7.5,200,4.85,491.822,121
TR,2006,57.5,3,-0.2,28.575,-0.37,28.763,21.599,10.294,5642.203,1491.908,0.575,-28.85,5.91826086956522,8.3,8.5,217,4.6,491.78333333333336,129
TR,2007,52.33333333333333,3,-0.8,28.785,-0.32,28.693,21.615,10.575,5564.631,1467.371,0.138,-26.844,2.68087301587302,13.1,8,219,2.475,491.7735,119
TR,2008,49.16666666666667,3,-0.8,27.635,-1.01,27.882,22.404,13.294,5589.382,1446.415,1.043,-51.589,1.03271739130435,7.9,7.5,243.5,2.5,491.86064814814813,148
TR,2009,50.666666666666664,3,0,28.635,-0.33,28.801,21.996,12.687,5586.86,1456.197,0.802,-62.755,2.75679347826087,10.4,1.5,226.5,2.675,491.729,142
TR,2010,47.833333333333336,3,-1.3,29.07,0.35,28.768,21.657,14.312,5594.375,1463.604,0.249,-18.261,6.8391847826087,13.15,8,163,0.85,491.7785,107
TR,2011,61,3,-1,28.12,-0.73,28.163,22.041,12.486,5597.093,1467.327,-0.583,30.959,2.9725,7.199999999999999,3.666666666666667,176.33333333333334,2,491.81933333333336,143
TR,2012,45.5,3,-0.3,28.215,-0.47,28.436,21.944,13.054,5584.833,1452.358,0.617,-52.312,7.38255434782609,12.700000000000001,0,151.33333333333334,2.2199999999999998,491.86064814814813,79
TR,2013,63,3,-1.1,28.525,-0.3,28.635,21.682,11.65,5660.924,1478.493,-0.287,12.612,1.34679347826087,8.85,4,188.5,1.7333333333333334,491.90766666666667,146
TR,2014,70.33333333333333,3,0,29.215,0.04,29.121,21.172,11.822,5614.732,1466.764,0.168,-17.448,0.5525,6.3,6.5,214.5,4.2,491.9235,154
TR,2015,50,3,1.9,29.73,0.7,29.483,22.774,12.373,5575.674,1470.979,0.583,-33.997,3.97652173913043,11.350000000000001,7,191.5,2.45,491.851,142
TR,2016,61.33333333333333,3,0.4,29.41,0.94,29.317,22.34,12.836,5620.667,1469.482,0.963,-64.82,4.59872222222222,12.7,4.5,171,1.8,491.911,107
TR,2017,64,3,-0.2,28.895,0.2,29.055,22.337,12.974,5592.167,1444.451,0.924,-46.862,3.82244565217391,8,9.5,188.5,3.2,491.96166666666664,121
TR,2018,64.5,3,-0.5,28.86,-0.5,28.902,23.315,10.781,5639.087,1477.218,0.048,-5.177,2.92902173913043,7.4,7.5,217,2.9,491.913,148
TR,2019,68.5,3,0.4,29.3,0.66,29.341,21.982,11.209,5599.633,1463.663,0.295,-14.077,1.47978260869565,6.050000000000001,7,202,3.95,491.95500000000004,152
TR,2020,71,3,-0.7,29.08,0.19,28.91,22.614,11.032,5642.158,1469.9,0.4,-29.63,3.08032608695652,5.3,11,193,4.35,491.886,142
TR,2021,53,3,-1,28.455,-0.66,28.714,22.446,10.508,5602.171,1463.767,0.842,-55.94,4.4775,8.3,6.838095238095238,201.10476190476192,3.5,491.893,113
TR,2022,51.33333333333333,3,-1.9,27.96,-1.06,28.262,22.565,14.501,5592.256,1455.703,0.664,-62.124,2.46717391304348,7.199999999999999,6.838095238095238,201.10476190476192,5.2,491.9175,133
TR,2023,65,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TR,2024,46.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
